(1, 279)
(1, 4)
(1, 79)
(1, 70)
(1, 120)
(1, 186)
(2, 37)
(1, 180)
(1, 293)
(1, 103)
(1, 76)
(1, 250)
(2, 97)
(1, 72)
(1, 280)
(1, 121)
(1, 300)
(1, 269)
(1, 40)
(1, 256)
(1, 109)
(1, 175)
(1, 189)
(1, 104)
(1, 139)
(2, 59)
(1, 56)
(2, 9)
(1, 111)
(1, 297)
(1, 129)
(1, 44)
(1, 39)
(1, 194)
(1, 12)
(1, 69)
(1, 166)
(2, 91)
(1, 46)
(1, 261)
(1, 242)
(1, 3)
(1, 170)
(2, 45)
(1, 285)
(1, 14)
(1, 133)
(1, 191)
(2, 60)
(2, 31)
(1, 101)
(1, 84)
(1, 80)
(1, 232)
(2, 44)
(1, 43)
(1, 21)
(1, 118)
(1, 211)
(1, 201)
(2, 5)
(1, 156)
(1, 172)
(1, 187)
(2, 69)
(1, 100)
(1, 135)
(1, 7)
(1, 65)
(1, 238)
(2, 62)
(1, 214)
(1, 107)
(2, 43)
(1, 252)
(1, 223)
(1, 157)
(1, 126)
(1, 184)
(1, 266)
(1, 98)
(1, 218)
(1, 53)
(1, 268)
(2, 40)
(1, 264)
(1, 92)
(2, 15)
(1, 2)
(1, 162)
(1, 174)
(1, 234)
(1, 241)
(2, 56)
(1, 1)
(1, 240)
(1, 260)
(1, 158)
(1, 63)
(1, 26)
(1, 73)
(2, 6)
(1, 141)
(1, 97)
(1, 248)
(2, 77)
(1, 202)
(1, 198)
(2, 13)
(2, 2)
(1, 160)
(1, 229)
(1, 119)
(1, 105)
(1, 171)
(1, 245)
(1, 55)
(1, 219)
(2, 53)
(1, 163)
(1, 49)
(1, 8)
(1, 255)
(1, 6)
(1, 60)
(1, 289)
(1, 82)
(2, 54)
(2, 86)
(1, 137)
(1, 190)
(1, 94)
(1, 208)
(1, 205)
(1, 16)
(2, 89)
(1, 19)
(2, 73)
(1, 188)
(1, 253)
(1, 66)
(1, 278)
(1, 27)
(1, 263)
(2, 67)
(1, 25)
(2, 30)
(1, 113)
(2, 99)
(1, 24)
(1, 11)
(1, 276)
(1, 90)
(2, 7)
(1, 290)
(2, 18)
(1, 251)
(1, 143)
(1, 200)
(1, 246)
(2, 8)
(1, 298)
(1, 257)
(1, 195)
(1, 225)
(2, 90)
(1, 54)
(2, 57)
(1, 74)
(1, 127)
(1, 277)
(1, 145)
(2, 74)
(2, 88)
(2, 38)
(1, 182)
(1, 275)
(1, 294)
(1, 77)
(2, 96)
(1, 254)
(1, 32)
(2, 3)
(2, 85)
(1, 291)
(1, 48)
(2, 34)
(1, 247)
(1, 122)
(1, 51)
(1, 167)
(2, 19)
(2, 83)
(2, 95)
(1, 292)
(2, 76)
(2, 17)
(1, 38)
(1, 213)
(1, 147)
(1, 235)
(2, 20)
(2, 72)
(1, 18)
(1, 243)
(1, 286)
(2, 58)
(1, 283)
(1, 45)
(1, 230)
(1, 148)
(1, 193)
(1, 131)
(2, 84)
(1, 267)
(2, 29)
(2, 80)
(1, 207)
(2, 10)
(1, 10)
(1, 274)
(2, 12)
(2, 46)
(1, 197)
(2, 33)
(2, 75)
(1, 210)
(1, 134)
(2, 32)
(1, 91)
(1, 151)
(1, 81)
(1, 22)
(1, 68)
(1, 116)
(2, 79)
(1, 258)
(1, 110)
(1, 93)
(1, 31)
(1, 228)
(1, 136)
(2, 52)
(2, 66)
(1, 222)
(2, 48)
(1, 185)
(2, 49)
(2, 22)
(2, 68)
(2, 14)
(2, 4)
(2, 70)
(2, 81)
(1, 149)
(2, 61)
(2, 36)
